0,51,458,62
1,67,474,78
2,81,292,94
3,78,126,16
4,58,493,18
5,61,357,39
6,75,159,39
7,87,90,75
8,95,207,77
9,70,172,42
10,86,338,3
11,71,249,22
12,65,151,70
13,74,103,27
14,51,472,92
15,60,8,76
16,92,377,30
17,93,8,85
18,90,378,24
19,86,39,4
20,90,358,59
21,51,353,1
22,69,448,96
23,69,217,73
24,62,73,2
25,91,431,69
26,60,64,1
27,78,126,52
28,88,186,21
29,92,356,36
30,51,226,89
31,53,0,43
32,68,403,96
33,69,218,18
34,65,360,30
35,57,449,60
36,76,22,35
37,70,11,38
38,68,434,67
39,87,166,99
40,62,341,87
41,84,25,53
42,81,355,59
43,73,499,18
44,79,462,56
45,57,124,67
46,77,202,52
47,98,122,66
48,91,88,87
49,80,134,71
50,84,149,41
51,52,253,43
52,78,228,71
53,64,197,77
54,56,65,88
55,65,446,85
56,67,150,15
57,74,277,26
58,72,294,39
59,62,217,78
60,56,171,85
61,79,174,88
62,51,331,45
63,76,127,90
64,85,192,57
65,90,479,100
66,75,442,0
67,77,331,92
68,74,429,8
69,81,405,29
70,90,178,65
71,89,47,0
72,56,90,54
73,80,299,66
74,63,257,80
75,77,312,61
76,99,85,23
77,73,405,0
78,51,273,12
79,99,68,45
80,72,265,47
81,78,265,73
82,51,166,19
83,80,326,92
84,86,97,48
85,70,86,30
86,69,183,73
87,53,64,45
88,89,39,24
89,64,171,68
90,64,40,82
91,86,2,94
92,89,136,70
93,90,351,43
94,77,25,11
95,72,7,0
96,52,126,34
97,74,411,100
98,73,14,29
99,59,81,8
100,80,411,21
101,51,3,36
102,74,277,62
103,67,242,76
104,85,115,86
105,76,195,0
106,95,370,67
107,84,111,71
108,76,52,66
109,50,433,41
110,53,43,27
111,92,303,50
112,92,113,83
113,57,207,16
114,91,375,22
115,80,143,48
116,79,425,91
117,67,445,81
118,78,320,89
119,91,65,0
120,57,271,97
121,55,270,47
122,86,348,46
123,83,19,10
124,70,472,7
125,96,420,42
126,95,211,84
127,65,472,72
128,72,58,79
129,81,357,21
130,64,434,29
131,90,282,89
132,97,351,83
133,95,345,35
134,50,327,41
135,63,44,11
136,60,262,63
137,50,428,25
138,96,305,89
139,75,209,30
140,67,53,42
141,78,27,18
142,94,219,3
143,59,370,16
144,68,337,10
145,70,154,9
146,94,269,80
147,56,50,91
148,55,219,7
149,61,236,13
150,52,415,56
151,92,115,25
152,86,15,42
153,98,340,35
154,55,409,74
155,87,132,2
156,51,173,0
157,90,82,29
158,55,346,72
159,70,480,16
160,81,151,96
161,77,383,90
162,82,432,11
163,88,418,78
164,63,25,65
165,96,444,96
166,50,106,46
167,79,290,32
168,60,472,55
169,90,18,21
170,61,378,100
171,78,46,36
172,97,281,15
173,91,117,64
174,58,172,35
175,72,44,97
176,63,153,46
177,54,498,86
178,90,101,17
179,82,471,21
180,82,380,23
181,70,234,27
182,89,414,71
183,59,18,2
184,83,396,8
185,92,96,95
186,53,377,21
187,72,117,14
188,57,294,70
189,98,180,36
190,62,419,5
191,56,9,7
192,50,15,56
193,55,15,55
194,52,227,96
195,70,367,47
196,83,427,28
197,95,104,91
198,98,168,60
199,91,367,90
200,67,294,96
201,64,484,44
202,91,48,56
203,82,250,73
204,71,480,31
205,68,177,43
206,56,384,36
207,67,114,11
208,73,47,78
209,52,26,35
210,54,182,5
211,66,97,100
212,70,402,83
213,82,281,27
214,76,469,2
215,56,76,21
216,83,140,32
217,59,166,39
218,90,151,3
219,51,76,74
220,81,495,33
221,59,203,96
222,76,332,9
223,54,139,56
224,93,342,63
225,50,79,0
226,51,143,47
227,84,406,71
228,70,125,15
229,78,265,38
230,70,108,77
231,66,385,18
232,72,151,15
233,70,495,4
234,60,272,68
235,69,195,41
236,95,265,20
237,59,413,27
238,87,57,97
239,83,65,79
240,84,370,37
241,78,499,13
242,76,37,89
243,73,211,31
244,95,247,72
245,93,18,42
246,90,449,88
247,67,222,77
248,92,217,3
249,59,300,44
250,75,191,35
251,61,154,6
252,82,245,63
253,75,246,60
254,94,476,47
255,73,28,86
256,68,386,56
257,55,54,51
258,69,183,56
259,57,204,54
260,53,112,31
261,65,188,85
262,60,325,44
263,87,301,97
264,51,309,18
265,57,254,56
266,93,52,14
267,85,79,20
268,64,382,64
269,76,490,21
270,71,479,85
271,83,233,69
272,79,178,17
273,52,213,80
274,80,224,6
275,60,212,63
276,71,445,3
277,64,132,86
278,89,401,33
279,86,342,29
280,66,46,79
281,67,344,20
282,83,130,29
283,73,420,79
284,59,454,0
285,63,466,62
286,96,498,8
287,69,247,55
288,89,111,40
289,93,342,74
290,71,373,34
291,53,390,78
292,71,218,24
293,93,371,17
294,72,137,37
295,95,40,82
296,51,254,63
297,81,88,79
298,89,91,47
299,84,59,99
300,63,437,92
301,67,67,97
302,81,430,47
303,55,416,85
304,93,160,80
305,94,10,7
306,52,391,30
307,75,236,97
308,91,242,31
309,51,167,33
310,98,230,40
311,65,269,23
312,72,368,16
313,64,240,83
314,79,380,38
315,86,477,1
316,84,27,49
317,51,93,27
318,96,467,20
319,90,303,87
320,72,320,28
321,53,150,20
322,89,309,14
323,55,349,25
324,83,350,30
325,94,170,95
326,99,422,63
327,70,189,10
328,82,94,81
329,92,404,46
330,93,287,10
331,63,166,17
332,52,204,71
333,93,399,3
334,57,39,24
335,87,61,89
336,60,69,27
337,72,375,10
338,58,454,4
339,97,138,30
340,67,113,61
341,73,348,53
342,66,411,61
343,57,485,62
344,96,212,19
345,74,316,26
346,96,3,34
347,88,182,20
348,77,41,72
349,81,160,54
350,73,394,84
351,78,181,84
352,96,419,98
353,93,59,95
354,75,224,96
355,81,384,99
356,79,105,54
357,76,116,38
358,63,287,2
359,74,106,48
360,61,13,81
361,77,402,100
362,69,273,76
363,95,457,84
364,86,472,93
365,93,257,29
366,65,412,77
367,66,275,73
368,83,187,56
369,81,231,73
370,97,321,12
371,59,29,48
372,81,185,7
373,91,231,40
374,60,212,21
375,84,122,70
376,97,398,74
377,51,130,0
378,93,199,63
379,96,463,44
380,66,359,83
381,80,390,21
382,74,235,67
383,57,76,50
384,52,443,57
385,76,478,66
386,99,249,43
387,83,412,43
388,86,109,61
389,62,315,47
390,51,277,79
391,64,467,13
392,66,415,86
393,58,425,65
394,59,313,0
395,54,117,15
396,79,443,69
397,75,441,36
398,95,416,47
399,52,10,68
400,96,317,13
401,74,364,73
402,56,346,14
403,68,95,17
404,83,1,66
405,63,153,86
406,99,241,70
407,73,96,42
408,75,207,9
409,50,477,23
410,66,158,13
411,50,134,59
412,56,347,46
413,58,7,77
414,65,153,28
415,85,250,74
416,61,22,56
417,56,358,64
418,89,241,6
419,81,487,100
420,91,264,61
421,99,200,89
422,67,270,0
423,66,261,69
424,65,253,40
425,97,290,100
426,75,491,24
427,59,276,9
428,77,307,79
429,64,386,24
430,71,205,30
431,64,265,47
432,64,261,17
433,82,388,13
434,77,414,88
435,97,232,31
436,88,359,24
437,79,103,64
438,85,340,91
439,53,270,81
440,92,152,13
441,96,364,11
442,71,335,20
443,89,311,41
444,92,209,45
445,76,428,33
446,59,25,40
447,61,37,49
448,51,205,24
449,62,291,60
450,55,58,57
451,70,12,18
452,59,165,91
453,88,28,29
454,57,330,83
455,81,431,1
456,82,15,81
457,76,13,54
458,57,207,19
459,86,97,94
460,57,167,58
461,97,325,92
462,88,371,28
463,88,165,56
464,88,175,86
465,62,34,18
466,65,237,75
467,56,10,63
468,57,80,21
469,92,256,24
470,75,472,43
471,77,107,5
472,57,291,44
473,93,384,26
474,50,329,54
475,98,193,42
476,80,30,89
477,95,428,9
478,79,404,11
479,96,261,80
480,82,247,89
481,92,155,38
482,97,38,62
483,91,317,58
484,56,102,0
485,70,150,62
486,75,216,52
487,73,340,5
488,90,466,89
489,55,323,59
490,97,198,1
491,76,133,86
492,58,85,49
493,65,407,46
494,84,251,66
495,85,284,26
496,82,199,57
497,51,397,3
498,97,210,36
499,78,144,48
500,54,188,39
501,62,421,98
502,94,459,98
503,53,325,31
504,56,426,80
505,96,399,87
506,52,465,76
507,76,229,69
508,53,137,72
509,51,232,1
510,51,445,39
511,69,284,19
512,57,407,11
513,98,10,66
514,81,74,75
515,74,129,78
516,92,463,34
517,67,329,97
518,82,435,68
519,65,31,38
520,56,413,94
521,93,339,51
522,85,5,2
523,65,279,91
524,60,430,5
525,96,167,89
526,82,270,83
527,65,420,68
528,76,101,91
529,80,363,100
530,96,32,8
531,91,13,16
532,86,367,77
533,67,106,54
534,69,163,42
535,63,129,42
536,64,58,24
537,91,259,46
538,67,441,30
539,81,291,52
540,53,245,91
541,75,392,90
542,72,24,66
543,72,400,1
544,85,44,67
545,73,417,65
546,63,494,57
547,76,166,70
548,84,380,63
549,90,143,83
550,87,253,84
551,55,153,83
552,51,94,7
553,69,139,60
554,50,110,15
555,71,66,49
556,89,465,8
557,57,121,2
558,96,111,17
559,80,154,60
560,98,465,74
561,90,307,39
562,64,140,19
563,80,251,98
564,84,123,74
565,64,48,67
566,78,442,33
567,64,72,45
568,76,254,59
569,92,106,81
570,68,327,23
571,84,205,77
572,82,210,63
573,50,224,23
574,71,19,60
575,89,222,7
576,86,192,1
577,67,315,2
578,67,464,76
579,54,280,83
580,64,313,53
581,76,207,70
582,96,326,87
583,53,445,20
584,96,288,21
585,88,419,24
586,96,485,81
587,58,424,85
588,56,276,86
589,81,340,19
590,66,223,6
591,69,491,80
592,90,334,76
593,57,183,99
594,52,186,44
595,66,369,26
596,75,46,54
597,62,473,26
598,51,322,47
599,51,14,54
600,84,123,23
601,72,212,18
602,68,336,100
603,70,344,24
604,56,97,74
605,51,63,89
606,83,138,8
607,67,396,21
608,75,244,57
609,63,356,60
610,96,362,31
611,88,115,77
612,60,311,81
613,74,42,79
614,75,63,20
615,50,304,1
616,74,408,31
617,95,33,2
618,80,41,55
619,85,492,70
620,62,480,40
621,82,26,55
622,69,433,79
623,94,28,25
624,54,399,76
625,54,345,49
626,75,406,44
627,67,98,40
628,51,373,33
629,88,222,57
630,58,172,62
631,62,9,97
632,71,407,13
633,87,384,89
634,90,392,64
635,75,108,27
636,69,222,30
637,67,142,97
638,74,495,37
639,74,390,71
640,51,158,24
641,84,275,80
642,58,212,100
643,95,89,97
644,91,19,39
645,67,441,58
646,94,98,46
647,86,243,13
648,76,211,6
649,97,219,65
650,88,43,16
651,87,190,35
652,99,318,42
653,57,410,66
654,89,393,65
655,92,323,61
656,90,453,12
657,65,296,82
658,76,443,71
659,61,221,26
660,71,373,2
661,68,165,13
662,67,436,62
663,60,128,72
664,96,36,38
