0,1632,258.96,2022-07-18 19:47
1,723,392.37,2023-11-09 00:30
2,365,61.39,2022-08-17 09:13
3,1211,414.5,2023-02-11 04:04
4,1772,35.3,2022-08-15 09:20
5,156,356.26,2023-01-11 11:00
6,1742,230.88,2022-11-24 19:28
7,1595,369.38,2023-08-23 18:29
8,1069,23.67,2023-07-23 04:22
9,1210,217.09,2023-10-27 16:18
10,1067,256.73,2024-01-06 00:28
11,1232,430.83,2023-09-20 15:58
12,983,452.46,2022-12-14 09:45
13,558,227.85,2022-05-02 00:27
14,1749,234.66,2023-01-07 05:06
15,961,90.49,2022-06-03 12:20
16,1107,116.01,2023-09-18 06:25
17,1687,131.97,2022-11-08 06:13
18,1956,43.72,2023-05-16 18:16
19,1272,420.68,2024-01-06 00:34
20,1046,122.06,2023-07-23 04:41
21,373,46.26,2022-06-26 02:46
22,1367,6.35,2022-09-06 02:05
23,721,443.28,2023-11-23 13:12
24,1290,452.82,2022-11-21 14:28
25,1109,21.09,2023-07-03 22:27
26,499,87.94,2023-03-12 16:23
27,1592,376.31,2022-08-12 13:59
28,1358,30.2,2023-12-05 03:13
29,1590,83.16,2022-09-03 18:15
30,190,447.88,2023-06-24 21:31
31,356,83.08,2022-12-22 22:18
32,1975,314.05,2024-04-05 16:57
33,951,465.96,2023-10-24 09:56
34,1553,198.2,2023-03-16 01:37
35,1543,225.31,2023-07-05 09:08
36,255,51.37,2023-01-24 07:51
37,1124,469.42,2022-06-09 19:06
38,930,113.23,2023-02-11 03:13
39,937,175.07,2023-09-04 16:09
40,1011,476.33,2022-06-30 16:17
41,245,38.21,2023-05-12 05:43
42,775,442.16,2022-08-06 15:58
43,1764,141.05,2022-12-23 02:22
44,652,287.08,2023-11-24 11:20
45,255,259.64,2022-09-05 14:13
46,1041,396.43,2023-03-18 18:25
47,662,352.52,2023-07-14 04:00
48,900,173.46,2022-07-16 12:01
49,159,321.7,2023-01-22 11:00
50,1928,132.45,2022-11-25 16:45
51,708,367.25,2024-01-26 09:41
52,414,218.69,2022-06-22 13:56
53,790,238.77,2022-06-09 10:38
54,55,486.79,2022-05-08 22:41
55,1032,397.64,2022-07-28 17:01
56,360,437.36,2023-02-17 23:59
57,2,427.23,2023-10-13 21:19
58,603,321.32,2024-03-29 05:32
59,1703,269.22,2023-08-01 19:26
60,241,445.43,2023-04-21 05:50
61,378,398.09,2023-07-25 04:59
62,450,194.85,2023-06-18 22:57
63,437,329.29,2022-08-17 07:12
64,1291,65.28,2023-02-23 03:42
65,972,427.5,2022-06-26 06:42
66,932,242.36,2023-12-16 03:02
67,1597,249.98,2024-02-04 23:14
68,1764,121.96,2022-08-14 06:16
69,211,351.68,2022-11-21 18:18
70,612,229.41,2022-05-17 02:28
71,1873,390.92,2023-11-29 14:06
72,1682,197.48,2022-11-18 22:29
73,155,324.01,2022-06-12 10:30
74,1444,192.41,2022-11-25 17:47
75,558,416.28,2024-03-05 18:26
76,719,54.36,2023-12-05 00:29
77,1232,448.71,2023-08-29 15:59
78,409,242.11,2022-08-21 20:42
79,1871,168.59,2024-03-21 19:19
80,456,277.03,2022-11-27 21:17
81,1724,294.97,2023-10-24 00:34
82,1266,221.52,2024-02-09 19:05
83,417,250.15,2022-06-06 17:17
84,1002,7.42,2023-06-14 18:20
85,954,28.22,2023-09-24 07:52
86,1908,442.03,2023-10-03 17:52
87,771,191.26,2022-09-23 03:12
88,1876,453.21,2023-06-12 23:29
89,1528,193.6,2024-01-16 11:36
90,1534,440.42,2023-09-13 19:11
91,720,286.26,2023-03-30 13:30
92,895,434.79,2023-03-21 04:18
93,836,254.15,2023-07-04 07:14
94,1290,130.63,2022-10-23 10:01
95,1478,184.07,2022-06-24 21:23
96,196,230.8,2022-09-18 14:41
97,949,162.38,2024-03-06 20:37
98,1738,53.6,2022-07-16 19:04
99,54,39.06,2023-11-24 02:37
100,1848,301.06,2023-06-13 09:32
101,647,496.36,2023-07-08 06:18
102,1419,272.73,2022-10-12 11:22
103,1542,442.4,2022-10-15 10:49
104,1843,296.7,2022-06-13 05:21
