0,1744,33.99,2022-05-30 02:13
1,1372,425.43,2023-10-10 22:06
2,1907,177.82,2022-06-29 03:36
3,1268,470.99,2023-03-30 11:34
4,988,127.49,2023-11-27 15:54
5,853,211.18,2024-03-11 23:56
6,915,365.91,2023-04-25 18:58
7,1888,492.91,2023-03-14 01:56
8,1595,30.11,2023-04-15 00:06
9,500,477.23,2023-11-26 08:21
10,1026,320.7,2023-09-28 10:54
11,1101,31.97,2022-11-03 13:09
12,488,480.91,2022-07-31 04:50
13,354,135.79,2022-10-01 20:25
14,241,100.67,2023-02-11 20:11
15,83,456.96,2023-04-12 02:18
16,1880,332.83,2023-09-07 13:33
17,779,296.81,2023-01-14 19:18
18,852,267.45,2022-08-10 16:01
19,274,250.6,2023-02-14 13:33
20,192,134.19,2023-08-07 22:05
21,229,325.01,2024-03-27 10:44
22,1085,14.68,2022-09-17 15:04
23,114,198.46,2023-04-27 18:57
24,574,471.82,2022-11-30 10:26
25,770,93.08,2022-07-14 04:08
26,16,124.64,2023-08-22 08:46
27,1608,19.36,2023-12-15 20:13
28,1022,27.85,2022-10-27 10:20
29,1218,298.89,2023-05-23 12:28
30,1469,404.5,2023-04-15 12:01
31,689,321.18,2023-02-14 05:28
32,1644,1.94,2024-04-06 08:47
33,422,242.04,2024-01-01 00:00
34,1124,166.3,2023-09-02 03:56
35,1414,176.68,2023-02-11 00:58
36,1173,90.07,2024-02-07 13:38
37,1209,49.89,2024-02-17 15:30
38,1694,76.17,2022-05-01 13:40
39,1675,8.08,2024-02-28 13:41
40,1811,429.76,2023-06-21 01:42
41,1118,420.57,2022-10-19 00:41
42,1158,360.91,2022-05-15 17:48
43,1128,283.86,2024-03-02 02:45
44,248,11.08,2023-02-06 07:25
45,181,433.12,2023-05-18 04:31
46,847,386.64,2023-09-06 22:44
47,1586,433.32,2023-08-26 19:38
48,547,51.3,2023-01-16 18:08
49,1114,424.24,2023-03-23 03:14
50,1373,270.3,2023-01-02 17:45
51,1829,163.94,2022-12-19 20:55
52,402,340.26,2023-05-26 10:57
53,860,265.27,2024-04-06 18:36
54,503,323.31,2023-12-13 03:56
55,231,177.15,2023-09-05 13:24
56,1063,308.85,2023-07-01 03:17
57,231,32.18,2022-09-22 16:58
58,907,485.57,2024-04-28 14:23
59,242,283.65,2023-03-27 04:59
60,19,404.13,2023-08-31 07:21
61,1725,254.15,2022-08-06 23:52
62,1655,395.44,2022-08-08 17:19
63,526,234.87,2023-01-19 17:59
64,436,388.59,2022-05-01 05:46
65,1422,62.59,2024-01-04 16:25
66,1828,413.23,2022-06-25 12:38
67,1583,40.74,2023-10-20 18:15
68,1289,50.12,2022-10-10 07:10
69,761,191.61,2023-02-09 07:30
70,996,213.32,2022-10-28 17:13
71,1377,4.24,2022-05-11 22:56
72,425,411.64,2023-05-14 10:19
73,4,430.07,2024-01-20 16:55
74,427,44.21,2024-04-26 05:48
75,801,26.09,2023-03-13 20:19
76,1692,266.12,2023-04-22 09:48
77,1109,430.88,2023-02-19 07:53
78,1102,455.77,2024-01-01 17:15
79,1318,335.79,2022-06-21 06:01
80,166,359.0,2024-01-21 19:04
81,1564,310.0,2024-02-08 10:29
82,1530,357.55,2022-10-15 23:27
83,1229,134.93,2024-04-19 02:14
84,1624,313.0,2023-06-28 19:52
85,1934,380.45,2023-08-09 09:03
86,1398,472.36,2022-09-03 13:56
87,1260,317.56,2023-06-22 11:07
88,17,27.31,2023-03-22 13:26
89,1372,312.65,2024-03-20 09:19
90,1892,379.1,2024-03-13 12:43
91,1500,143.0,2022-06-18 16:17
92,160,14.44,2023-05-19 06:39
93,1079,217.83,2023-12-25 01:39
94,1290,332.94,2023-12-17 15:18
95,248,12.42,2023-08-14 00:02
96,1242,188.94,2023-12-05 22:21
97,989,275.23,2024-04-26 16:47
98,641,63.24,2022-05-21 23:41
99,822,223.22,2023-11-05 17:24
100,1105,20.79,2023-12-03 01:18
101,359,252.92,2022-12-03 05:48
102,386,107.87,2023-07-15 04:41
103,1933,311.31,2022-08-16 06:04
104,1258,221.65,2023-03-19 12:38
105,458,306.57,2023-09-01 08:33
106,152,114.99,2023-10-20 15:13
107,1368,320.76,2023-01-04 14:43
108,1575,31.84,2023-03-21 23:58
109,1281,39.25,2022-12-20 01:14
110,947,62.66,2023-09-01 12:06
111,1896,492.99,2022-06-05 04:49
112,1063,39.16,2022-07-05 22:59
113,930,328.24,2024-04-26 01:01
114,429,79.74,2023-01-29 03:02
115,385,284.22,2023-07-20 14:45
116,932,347.22,2022-08-21 15:36
117,805,293.72,2023-10-13 04:04
118,626,288.54,2023-07-28 13:00
119,503,73.76,2022-09-10 23:41
120,1962,196.4,2023-01-21 17:46
121,1942,282.97,2023-03-29 03:22
122,1054,436.52,2023-12-09 13:28
123,1104,436.76,2024-01-02 18:03
124,95,56.39,2024-01-06 10:32
125,107,92.02,2023-11-22 01:16
126,180,281.95,2024-02-03 13:10
127,559,450.18,2022-06-26 10:23
128,185,137.87,2023-05-20 21:58
129,1635,482.31,2023-02-06 12:03
130,1639,164.37,2023-06-22 23:06
131,1058,463.82,2022-12-24 22:09
132,418,378.41,2023-03-30 09:37
133,1121,188.74,2023-06-08 22:03
134,1411,319.03,2023-08-12 02:53
135,1783,191.37,2023-08-06 01:39
136,394,284.14,2023-12-02 19:53
137,471,456.88,2022-09-17 08:14
138,1253,308.05,2023-10-05 20:47
139,755,375.12,2023-10-18 16:32
140,1580,439.13,2023-01-19 00:04
141,46,147.11,2022-09-01 21:13
142,1757,151.79,2023-07-28 22:29
143,952,29.65,2022-12-10 04:49
144,1271,137.44,2024-04-04 05:21
145,28,123.24,2023-05-06 08:54
146,1306,57.48,2022-10-02 12:32
147,1126,424.36,2022-11-11 01:42
148,601,275.5,2024-03-24 14:04
149,349,165.65,2023-01-13 22:40
150,1359,369.21,2024-01-22 10:55
151,1326,166.65,2023-09-16 13:07
152,490,220.99,2023-07-07 20:28
153,1316,166.29,2023-07-29 20:14
154,1965,462.49,2022-08-17 10:54
155,587,459.78,2022-09-23 21:36
156,1018,482.6,2023-06-20 18:11
157,1620,412.58,2023-09-07 07:54
158,1773,60.34,2022-07-31 19:55
159,1243,132.82,2022-05-05 12:56
160,1330,148.37,2022-05-27 01:03
161,134,343.09,2022-06-29 02:19
162,1904,401.2,2024-01-19 23:14
163,1018,472.09,2023-08-19 00:37
164,1347,292.06,2022-08-25 09:25
165,385,183.5,2022-05-06 04:13
166,1185,15.91,2022-10-24 13:40
167,1657,45.69,2023-03-05 22:05
168,464,226.83,2023-09-18 15:57
169,123,288.09,2023-10-17 18:49
170,1406,29.9,2022-12-20 09:48
171,368,100.96,2024-02-05 08:51
172,756,79.52,2024-03-31 13:28
173,635,10.55,2022-10-17 07:07
174,1872,12.92,2024-03-10 06:49
175,521,426.26,2022-10-10 05:33
176,230,367.88,2022-08-02 02:26
177,582,461.43,2023-02-01 01:31
178,1153,338.44,2024-01-23 05:48
179,1833,191.12,2023-12-30 00:50
180,1206,276.79,2022-11-12 05:12
181,1174,113.12,2024-02-02 15:19
182,1509,93.31,2023-02-24 20:48
183,1459,471.1,2024-02-03 22:53
184,1475,302.74,2023-11-14 05:43
