0,64,84,1525,true
1,83,81,1845,true
2,29,45,474,true
3,44,13,824,true
4,43,13,1625,true
5,29,94,1406,true
6,49,34,884,false
7,14,20,1652,false
8,1,11,766,false
9,4,47,1889,false
10,6,48,957,false
11,59,7,883,false
12,4,40,1944,true
13,97,80,460,false
14,20,59,174,true
15,60,12,1953,false
16,85,65,1970,false
17,76,95,287,true
18,96,100,1364,false
19,23,13,418,true
20,83,26,5,true
21,20,22,468,true
22,0,14,1048,false
23,12,87,1018,false
24,68,74,1577,true
25,4,90,1498,false
26,54,9,1657,true
27,9,5,1801,true
28,73,28,315,true
29,74,54,1253,true
30,79,30,956,false
31,30,44,1842,true
32,15,71,505,true
33,54,94,120,true
34,28,46,1435,false
35,12,29,1168,false
36,79,95,1647,true
37,77,15,1641,false
38,91,78,1623,false
39,40,53,221,false
40,13,83,1305,true
41,4,12,194,true
42,39,38,655,true
43,76,8,310,true
44,15,46,1463,true
45,39,41,1389,true
46,33,40,899,false
47,17,100,1900,true
48,52,46,132,true
49,65,71,743,false
50,45,99,1038,true
51,36,75,582,true
52,18,8,409,false
53,84,79,794,false
54,20,28,138,true
55,69,84,396,false
56,50,57,938,false
57,46,11,1437,false
58,51,68,1173,true
59,55,14,1342,true
60,90,25,1648,true
61,28,86,1402,true
62,6,16,932,true
63,57,39,214,true
64,43,23,1865,true
65,88,9,1888,false
66,56,9,763,false
67,65,16,1129,true
68,41,51,328,true
69,4,61,1176,true
70,70,12,1354,true
71,83,85,1748,false
72,65,22,398,true
73,1,96,535,false
74,96,73,909,false
75,63,56,1784,true
76,58,72,1760,true
77,64,2,693,false
78,41,77,411,true
79,12,39,455,false
80,84,73,896,false
81,40,40,1420,true
82,88,41,1496,false
83,58,63,1953,false
84,11,57,536,true
85,93,12,1056,true
86,62,17,1035,false
87,88,17,1202,false
88,63,25,1544,true
89,28,71,103,false
90,86,86,1553,true
91,67,17,1568,true
92,38,55,865,true
93,29,3,852,false
94,76,37,1737,true
95,79,5,1968,false
96,97,18,479,false
97,97,9,220,false
98,11,10,411,true
99,46,46,115,false
100,18,22,1710,true
101,60,7,746,true
102,14,97,1638,true
103,25,9,575,true
104,56,93,688,false
105,3,25,1255,false
106,71,9,1961,true
107,1,62,542,true
108,14,86,426,true
109,92,70,1999,false
110,73,10,629,false
111,47,35,194,true
112,23,48,123,true
113,27,85,1813,true
114,92,65,1862,false
115,78,12,700,true
116,65,31,1005,true
117,1,4,910,false
118,42,46,68,true
119,74,57,754,false
120,71,40,360,false
121,17,39,1407,false
122,31,40,69,true
123,82,47,1763,false
124,75,85,992,true
125,67,37,147,false
126,20,65,835,false
127,0,15,46,true
128,26,86,300,false
129,21,52,1633,false
130,23,56,994,false
131,27,79,1767,false
132,92,10,310,false
133,34,73,1415,true
134,94,58,427,true
135,50,88,207,true
136,3,40,660,false
137,61,1,446,true
138,25,22,1554,true
139,81,55,1205,false
140,90,9,1294,true
141,88,45,1942,false
142,95,63,1707,false
143,35,50,1351,false
144,0,73,1470,false
145,20,67,480,true
146,83,31,1176,true
147,87,65,603,true
148,11,58,1377,true
149,68,81,180,true
150,39,54,284,true
151,47,7,939,true
152,95,2,360,false
153,79,47,605,true
154,75,31,1585,false
155,44,32,507,true
156,91,4,112,true
157,91,7,394,true
158,96,23,56,false
159,73,27,463,false
160,3,8,82,false
161,77,5,1741,false
162,21,47,388,true
163,23,69,1505,false
164,74,53,236,true
165,57,65,260,true
166,97,58,1520,true
167,22,2,996,true
168,48,16,867,true
169,71,87,1047,false
170,97,90,764,false
171,92,37,1436,true
172,41,4,1403,false
173,22,86,1181,false
174,9,95,20,true
175,30,15,1938,true
176,21,63,884,false
177,6,84,15,true
178,93,97,1298,true
179,89,58,1335,true
180,44,30,1022,true
181,39,54,995,false
182,36,79,207,false
183,76,66,785,false
184,1,99,1811,false
185,86,65,848,false
186,99,17,939,true
187,7,4,1205,true
188,57,28,490,false
189,7,69,1846,true
190,48,47,1625,true
191,28,44,1050,false
192,30,100,1801,false
193,80,91,673,false
194,49,73,663,false
195,78,22,943,false
196,95,92,1557,true
197,16,30,933,false
198,26,21,1302,false
199,13,14,1471,true
